"filename", "language", "Java", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\berys\Java\Counter\counter\README.md", "Markdown", 0, 0, 5, 0, 2, 7
"c:\Users\berys\Java\Counter\counter\pom.xml", "XML", 0, 177, 0, 1, 2, 180
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\App.java", "Java", 9, 0, 0, 3, 2, 14
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Button.java", "Java", 107, 0, 0, 2, 21, 130
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Gui.java", "Java", 137, 0, 0, 0, 34, 171
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\JsonManager.java", "Java", 47, 0, 0, 14, 12, 73
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Menu.java", "Java", 45, 0, 0, 2, 18, 65
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Text.java", "Java", 27, 0, 0, 0, 6, 33
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\folder.java", "Java", 165, 0, 0, 2, 12, 179
"c:\Users\berys\Java\Counter\counter\src\test\java\com\example\AppTest.java", "Java", 9, 0, 0, 6, 4, 19
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\App.class", "Java", 12, 0, 0, 0, 0, 12
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Button.class", "Java", 70, 0, 0, 0, 1, 71
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$1.class", "Java", 9, 0, 0, 0, 0, 9
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$2.class", "Java", 11, 0, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$3.class", "Java", 12, 0, 0, 0, 0, 12
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui.class", "Java", 53, 0, 0, 0, 0, 53
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\JsonManager.class", "Java", 34, 0, 0, 0, 0, 34
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$1.class", "Java", 15, 0, 0, 0, 0, 15
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu.class", "Java", 30, 0, 0, 0, 0, 30
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Text.class", "Java", 20, 0, 0, 0, 0, 20
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\folder.class", "Java", 65, 0, 0, 0, 0, 65
"c:\Users\berys\Java\Counter\counter\target\test-classes\com\example\AppTest.class", "Java", 10, 0, 0, 0, 0, 10
"Total", "-", 887, 177, 5, 30, 114, 1213
