"filename", "language", "XML", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\berys\Java\Counter\counter\README.md", "Markdown", 0, 0, 5, 0, 2, 7
"c:\Users\berys\Java\Counter\counter\pom.xml", "XML", 178, 0, 0, 1, 2, 181
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\App.java", "Java", 0, 8, 0, 0, 3, 11
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Button.java", "Java", 0, 120, 0, 3, 22, 145
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Gui.java", "Java", 0, 313, 0, 0, 65, 378
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\JsonManager.java", "Java", 0, 39, 0, 0, 9, 48
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Menu.java", "Java", 0, 124, 0, 2, 43, 169
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Stopwatch.java", "Java", 0, 47, 0, 0, 11, 58
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\Text.java", "Java", 0, 27, 0, 0, 6, 33
"c:\Users\berys\Java\Counter\counter\src\main\java\com\example\folder.java", "Java", 0, 235, 0, 2, 25, 262
"c:\Users\berys\Java\Counter\counter\src\test\java\com\example\AppTest.java", "Java", 0, 9, 0, 6, 4, 19
"c:\Users\berys\Java\Counter\counter\target\checkstyle-checker.xml", "XML", 146, 0, 0, 27, 3, 176
"c:\Users\berys\Java\Counter\counter\target\checkstyle-result.xml", "XML", 261, 0, 0, 0, 1, 262
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\App.class", "Java", 0, 10, 0, 0, 0, 10
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Button.class", "Java", 0, 77, 0, 0, 1, 78
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$1.class", "Java", 0, 15, 0, 0, 0, 15
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$2.class", "Java", 0, 12, 0, 0, 0, 12
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$3.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$4.class", "Java", 0, 12, 0, 0, 0, 12
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button1.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button2.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button3.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button4.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button5.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Button6.class", "Java", 0, 14, 0, 0, 0, 14
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Cancel.class", "Java", 0, 13, 0, 0, 0, 13
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Escape.class", "Java", 0, 13, 0, 0, 0, 13
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$NewGame.class", "Java", 0, 15, 0, 0, 0, 15
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui$Start_stop.class", "Java", 0, 15, 0, 0, 0, 15
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Gui.class", "Java", 0, 79, 0, 0, 0, 79
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\JsonManager.class", "Java", 0, 30, 0, 0, 0, 30
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$1.class", "Java", 0, 19, 0, 0, 1, 20
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$2.class", "Java", 0, 18, 0, 0, 1, 19
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$3.class", "Java", 0, 11, 0, 0, 0, 11
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$4.class", "Java", 0, 12, 0, 0, 0, 12
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu$Escape.class", "Java", 0, 15, 0, 0, 0, 15
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Menu.class", "Java", 0, 60, 0, 0, 0, 60
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Stopwatch$1.class", "Java", 0, 17, 0, 0, 0, 17
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Stopwatch.class", "Java", 0, 33, 0, 0, 0, 33
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\Text.class", "Java", 0, 20, 0, 0, 0, 20
"c:\Users\berys\Java\Counter\counter\target\classes\com\example\folder.class", "Java", 0, 70, 0, 0, 0, 70
"c:\Users\berys\Java\Counter\counter\target\test-classes\com\example\AppTest.class", "Java", 0, 10, 0, 0, 0, 10
"Total", "-", 585, 1578, 5, 41, 199, 2408
